idna_subject,checker_type,destination,source,tested_at,session_id
[adblock,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.726703,13d7be4b9819bf3c83d00536
plus,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.728155,13d7be4b9819bf3c83d00536
2.0],AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.728749,13d7be4b9819bf3c83d00536
!,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.729585,13d7be4b9819bf3c83d00536
version:,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.730166,13d7be4b9819bf3c83d00536
202104011600,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.730745,13d7be4b9819bf3c83d00536
title:,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.732136,13d7be4b9819bf3c83d00536
easylist,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.732947,13d7be4b9819bf3c83d00536
last,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.734517,13d7be4b9819bf3c83d00536
modified:,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.735194,13d7be4b9819bf3c83d00536
01,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.735891,13d7be4b9819bf3c83d00536
apr,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.736591,13d7be4b9819bf3c83d00536
2021,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.737316,13d7be4b9819bf3c83d00536
16:00,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.738020,13d7be4b9819bf3c83d00536
utc,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.738743,13d7be4b9819bf3c83d00536
expires:,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.740264,13d7be4b9819bf3c83d00536
4,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.741033,13d7be4b9819bf3c83d00536
days,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.741837,13d7be4b9819bf3c83d00536
(update,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.742683,13d7be4b9819bf3c83d00536
frequency),AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.743540,13d7be4b9819bf3c83d00536
homepage:,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.745272,13d7be4b9819bf3c83d00536
https://easylist.to/,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.746145,13d7be4b9819bf3c83d00536
licence:,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.747782,13d7be4b9819bf3c83d00536
https://easylist.to/pages/licence.html,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.748686,13d7be4b9819bf3c83d00536
please,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.751960,13d7be4b9819bf3c83d00536
report,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.752926,13d7be4b9819bf3c83d00536
any,AVAILABILITY,origin.list,origin.list,2001-04-01 16:26:55.754094,13d7be4b9819bf3c83d00536
